"統一編號","廠商中文名稱","廠商英文名稱","中文營業地址","英文營業地址"
"40004397","大溪食品工業有限公司","TA-CHI FOODS INDUSTRY CO., LTD.","宜蘭縣頭城鎮大溪里濱海路五段396號1樓","1 F., No. 396, Sec. 5, Binhai Rd., Daxi Vil., Toucheng Township, Yilan County 26145, Taiwan (R.O.C.)"
"40036503","日新化學社","SUNRISE COMSMETIC INDUSTRIAL FACTORY","宜蘭縣礁溪鄉玉田村車路頭三路8號","No. 8, Chelutou 3rd Rd., Yutian Vil., Jiaoxi Township,  Yilan County , Taiwan (R.O.C.)"
"40064253","全信製藥有限公司","CHUAN SHIN PHARMACEUTICAL CO., LTD.","宜蘭縣宜蘭市孝廉里力行路136號","No. 136, Lixing Rd., Xiaolian Vil., Yilan City, Yilan County 26041, Taiwan (R.O.C.)"
"40086600","利益金號","LEI EN SHOP","宜蘭縣宜蘭市民生里光復路一二五號（宜蘭市公有第二零售市場地下室）","No. 125, Guangfu Rd., Minsheng Vil., Yilan City, Yilan County 26043, Taiwan (R.O.C.)"
"40093927","松明電氣有限公司","SUNG-MING ELECTRIC CO., LTD.","宜蘭縣礁溪鄉時潮村大塭路六十號一樓","1 F., No. 60, Dawen Rd., Jiaoxi Township, Yilan County 26242, Taiwan (R.O.C.)"
"40096070","金宜興汽車修配廠","GEC Car Factory.","宜蘭縣頭城鎮二城里青雲路一段238號","No. 238, Sec. 1, Qingyun Rd., Ercheng Vil., Toucheng Township, Yilan County 26142, Taiwan (R.O.C.)"
"40102806","松竹實業社","SONG JWU CHEMICAL FACTORY","宜蘭縣宜蘭市新民里康樂路一三四及一三六號三樓","3 F., No. 136, Kangle Rd., Xinmin Vil., Yilan City, Yilan County 26049, Taiwan (R.O.C.)"
"40115507","三九工業社","Three nine industries co.","臺中市沙鹿區三鹿里保順五街５７號１樓","1 F., No. 57, Baoshun 5th St., Sanlu Vil., Shalu Dist., Taichung City 43347, Taiwan (R.O.C.)"
"40118201","美信傢俱行","MEI-SHIN FURNITURE STORE","宜蘭縣宜蘭市北門里中山路三段三０一號","No. 301, Sec. 3, Zhongshan Rd., Beimen Vil., Yilan City, Yilan County 26044, Taiwan (R.O.C.)"
"40123302","金益發米粉工廠","KIN YI FA RICE NOODLE FACTORY","宜蘭縣宜蘭市西門里文昌路158號一樓","1 F., No. 158, Wenchang Rd., Ximen Vil., Yilan City, Yilan County 26045, Taiwan (R.O.C.)"
"40152376","鑫友力工程行","Sin you li co.","臺中市太平區興隆里光興路１４３２巷１０７弄１５號１樓","1 F., No. 15, Aly. 107, Ln. 1432, Guangxing Rd., Xinglong Vil., Taiping Dist., Taichung City 41149, Taiwan (R.O.C.)"
"40152896","美月實業有限公司","MEEI YUEN INDUSTRY CO., LTD.","宜蘭縣礁溪鄉礁溪路1段302巷20號","No. 20, Ln. 302, Sec. 1, Jiaoxi Rd., Jiaoxi Township,  Yilan County 262, Taiwan (R.O.C.)"
"40183770","北沐餐飲商行","beimoon CO.","臺中市西區公正里大同街242號1樓","1 F., No. 242, Datong St., Gongzheng Vil., West Dist., Taichung City 403019, Taiwan (R.O.C.)"
"40193307","為森遊學","Mori Well Trading Store","臺中市西區臺灣大道二段２８５號２０樓","20 F., No. 285, Sec. 2, Taiwan Blvd., West Dist., Taichung City 40308, Taiwan (R.O.C.)"
"40199885","美立兒國際實業社","MELIOR GLOBAL CO.","臺中市烏日區前竹里光明路１５７巷３８弄７號１樓","1 F., No. 7, Aly. 38, Ln. 157, Guangming Rd., Qianzhu Vil., Wuri Dist., Taichung City 414015, Taiwan (R.O.C.)"
"40199908","添大興業股份有限公司","TIEN TA DEVELOPMENT CO., LTD","宜蘭縣頭城鎮城南里和平街70號","No. 70, Heping St., Chengnan Vil., Toucheng Township, Yilan County 26143, Taiwan (R.O.C.)"
"40210002","乾隆肉號","CHAEN LOIN SHOP","宜蘭縣宜蘭市民生里光復路１２５號","NO.125, GUANGFU RD., ILAN CITY, ILAN,  TAIWAN  260"
"40212705","煜盛企業社","YU SHING Company","臺中市大雅區秀山里上山路１７５巷１５號１樓","1 F., No. 15, Ln. 175, Shangshan Rd., Xiushan Vil., Daya Dist., Taichung City 428015, Taiwan (R.O.C.)"
"40225461","達鎰高科技股份有限公司","TERCEL HI-TECH CO., LTD.","宜蘭縣頭城鎮北宜路一段295號","No. 295, Sec. 1, Beiyi Rd., Toucheng Township, Yilan County 26141, Taiwan (R.O.C.)"
"40233906","順益化學社","SHUN YIH CHEMISTRY FACTORY","宜蘭縣宜蘭市東門里聖後街156號一樓","1 F., No. 156, Shenghou St., Dongmen Vil., Yilan City, Yilan County 260002, Taiwan (R.O.C.)"
"40253851","效順機械五金行","HSIAO SHUN MACHINERY HARDWARE CO.","臺中市北屯區?子里太原路三段１３５９號１０樓之１","10F.-1, No. 1359, Sec. 3, Taiyuan Rd., Beitun Dist., Taichung City 40661, Taiwan (R.O.C.)"
"40266737","道順肉號","DEAN SOUN SHOP","宜蘭縣宜蘭市民生里民生路六號南館市場攤位三七號","NO. 6,  MINSHENG RD.,  LUODUNG JEN, ILAN,  TAIWAN  265"
"40290201","裕農種子行","YULONG SEED COMPANY","宜蘭縣宜蘭市大道里西後街５號","No. 5, Xihou St., Dadao Vil., Yilan City, Yilan County 26044, Taiwan (R.O.C.)"
"40348409","蓁夢莉美粧實業社","Jhem MengLi Comestic Co.","臺中市大雅區大楓里民富街６１號２樓","2 F., No. 61, Minfu St., Dafeng Vil., Daya Dist., Taichung City 428009, Taiwan (R.O.C.)"
"40520082","新元發實業股份有限公司","SHIN YUAN FA ENTERPRISES CO.","宜蘭縣宜蘭市延平里東港路二段26號","No. 26, Sec. 2, Donggang Rd., Yanping Vil., Yilan City, Yilan County 260024, Taiwan (R.O.C.)"
"40523623","安朵拉服飾","Andola co.","臺中市北屯區平安里崇德路二段１３０號４樓","4 F., No. 130, Sec. 2, Chongde Rd., Ping’an Vil., Beitun Dist., Taichung City 40653, Taiwan (R.O.C.)"
"40527281","碩閣林企業社","SOULGREEN COFFEE ENTERPRISE CO.","臺中市西區吉龍里五權西五街１４５號１樓","1 F., No. 145, Wuquan W. 5th St., Jilong Vil., West Dist., Taichung City 403030, Taiwan (R.O.C.)"
"40530075","進原木材有限公司","JINN YUAN LUMBER CO., LTD.","宜蘭縣冬山鄉鹿埔村鹿埔路531巷38號","No. 38, Ln. 531, Lupu Rd., Dongshan Township, Yilan County 26943, Taiwan (R.O.C.)"
"40530531","南興肉店","NAN SHEING SHOP","宜蘭縣宜蘭市建業里建業街３３號","No. 33, Jianye Rd., Jianye Vil., Yilan City, Yilan County 26060, Taiwan (R.O.C.)"
"40530928","蔡家老酒商行","WIN FAR COMPANY","臺中市豐原區田心里中山路３２２之３號１樓","1 F., No. 322-3, Zhongshan Rd., Tianxin Vil., Fengyuan Dist., Taichung City 42050, Taiwan (R.O.C.)"
"40530981","米鹿國際企業社","Meter deer INTERNATIONAL CO.","臺中市南屯區文山里大英街197號1樓","1 F., No. 197, Daying St., Wenshan Vil., Nantun Dist., Taichung City 408030, Taiwan (R.O.C.)"
